Cp	Case=Cpd
SGPaFuM	Case=Gen|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part
PAMGd	Case=Acc|Gender=Masc|Number=Plur|VerbForm=Gdv
SAPaPrNePv	Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
PGPaPrNePv	Case=Gen|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PIPaPrNePv	Case=Ins|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PAPaPsF	Case=Acc|Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
DuBNe	Case=Abl|Gender=Neut|Number=Dual
DuDNe	Case=Dat|Gender=Neut|Number=Dual
SVNe	Case=Voc|Gender=Neut|Number=Sing
PGPaNe	Case=Gen|Gender=Neut|Number=Plur|VerbForm=Part
DuPs3Su	Mood=Sub|Number=Dual|Person=3|Tense=Past
PPr2	Mood=Jus|Number=Plur|Person=2|Tense=Pres
SLPaPsNe	Case=Loc|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
SAPaPsNe	Case=Acc|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
SBPaPsNe	Case=Abl|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
PLPaPrF	Case=Loc|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part
DuPs3Im	Tense=Past|Mood=Imp|Person=3|Number=Dual
PPs3Im	Tense=Past|Mood=Imp|Person=3|Number=Plur
PIPaPrNe	Case=Ins|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part
SPr2InPv	Tense=Pres|Mood=Ind|Voice=Pass|Person=2|Number=Sing
PPr2ImPv	Tense=Pres|Mood=Imp|Voice=Pass|Person=2|Number=Plur
PPs1Su	Tense=Past|Mood=Sub|Person=1|Number=Plur
SVPaPrM	Case=Voc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part
DuAPaNe	Case=Acc|Gender=Neut|Number=Dual|VerbForm=Part
Du2ImIn	Tense=Impf|Mood=Ind|Person=2|Number=Dual
PV	Case=Voc|Number=Plur
DuIPaPrMPv	Case=Ins|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
PDNe	Case=Dat|Gender=Neut|Number=Plur
DuAPaF	Case=Acc|Gender=Fem|Number=Dual|VerbForm=Part
SBNeGd	Case=Abl|Gender=Neut|Number=Sing|VerbForm=Gdv
PaFuCp	Case=Cpd|Tense=Fut|VerbForm=Part
DuGPaM	Case=Gen|Gender=Masc|Number=Dual|VerbForm=Part
SPs2InTh	Tense=Past|Mood=Ind|Formation=them|Person=2|Number=Sing
DuLPaPrF	Case=Loc|Gender=Fem|Number=Dual|Tense=Pres|VerbForm=Part
SPr1InPv	Tense=Pres|Mood=Ind|Voice=Pass|Person=1|Number=Sing
DuFu1In	Tense=Fut|Mood=Ind|Person=1|Number=Dual
PVMGd	Case=Voc|Gender=Masc|Number=Plur|VerbForm=Gdv
SPs2InFis	Tense=Past|Mood=Ind|Formation=is|Person=2|Number=Sing
PDPaM	Case=Dat|Gender=Masc|Number=Plur|VerbForm=Part
PFu3	Tense=Fut|Mood=Cond|Person=3|Number=Plur
DuNFGd	Case=Nom|Gender=Fem|Number=Dual|VerbForm=Gdv
PPr1ImPv	Tense=Pres|Mood=Imp|Voice=Pass|Person=1|Number=Plur
PGPaFuM	Case=Gen|Gender=Masc|Number=Plur|Tense=Fut|VerbForm=Part
S2In	Tense=Plp|Mood=Ind|Person=2|Number=Sing
PINeGd	Case=Ins|Gender=Neut|Number=Plur|VerbForm=Gdv
DuBPaM	Case=Abl|Gender=Masc|Number=Dual|VerbForm=Part
SGPaPrNePv	Case=Gen|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
SBPaPrMPv	Case=Abl|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
DuNNeGd	Case=Nom|Gender=Neut|Number=Dual|VerbForm=Gdv
PNPaPrNe	Case=Nom|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part
DuIPaM	Case=Ins|Gender=Masc|Number=Dual|VerbForm=Part
DuI	Case=Ins|Number=Dual
SFu2InPe	Tense=Fut|Mood=Ind|Formation=peri|Person=2|Number=Sing
PPs3O	Tense=Past|Mood=Opt|Person=3|Number=Plur
PLPaPrFPv	Case=Loc|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PPs1InFs	Tense=Past|Mood=Ind|Formation=s|Person=1|Number=Plur
PPs3InFis	Tense=Past|Mood=Ind|Formation=is|Person=3|Number=Plur
SLPaPrFPv	Case=Loc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
SIPaFuM	Case=Ins|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part
SDPaPrF	Case=Dat|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part
SGPaPrFPv	Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
PAPaPrNe	Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part
PIPaPsM	Case=Ins|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
SIPaPsNe	Case=Ins|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
SINeGd	Case=Ins|Gender=Neut|Number=Sing|VerbForm=Gdv
PPs2O	Tense=Past|Mood=Opt|Person=2|Number=Plur
DuPr1Su	Tense=Pres|Mood=Sub|Person=1|Number=Dual
DuPs1	Tense=Past|Mood=Jus|Person=1|Number=Dual
PPs3Su	Tense=Past|Mood=Sub|Person=3|Number=Plur
PaPrPv	Tense=Pres|VerbForm=Part|Voice=Pass
DuNPaPsF	Case=Nom|Gender=Fem|Number=Dual|Tense=Past|VerbForm=Part
DuAPaPrF	Case=Acc|Gender=Fem|Number=Dual|Tense=Pres|VerbForm=Part
DuFu3InPe	Tense=Fut|Mood=Ind|Formation=peri|Person=3|Number=Dual
Du3ImInPv	Tense=Impf|Mood=Ind|Voice=Pass|Person=3|Number=Dual
SAPaFuM	Case=Acc|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part
PAPaPrNePv	Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
DuAMGd	Case=Acc|Gender=Masc|Number=Dual|VerbForm=Gdv
DuNPaPrMPv	Case=Nom|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
SPs2InFs	Tense=Past|Mood=Ind|Formation=s|Person=2|Number=Sing
DuGPaNe	Case=Gen|Gender=Neut|Number=Dual|VerbForm=Part
PaU	_|VerbForm=Part
CoU	_|VerbForm=Conv
InU	_|VerbForm=Inf
PaPrU	_|Tense=Pres|VerbForm=Part
GdU	_|VerbForm=Gdv
PaPrPvU	_|Tense=Pres|VerbForm=Part|Voice=Pass
PDPaPrMPv	Case=Dat|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PBPaNe	Case=Abl|Gender=Neut|Number=Plur|VerbForm=Part
DuDPaPrMPv	Case=Dat|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
S1In	Tense=Plp|Mood=Ind|Person=1|Number=Sing
DuVF	Case=Voc|Gender=Fem|Number=Dual
DuAPaFuNe	Case=Acc|Gender=Neut|Number=Dual|Tense=Fut|VerbForm=Part
PNPaFuM	Case=Nom|Gender=Masc|Number=Plur|Tense=Fut|VerbForm=Part
DuPs2Su	Tense=Past|Mood=Sub|Person=2|Number=Dual
Du3In	Tense=Plp|Mood=Ind|Person=3|Number=Dual
PGPaPsM	Case=Gen|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
PLFGd	Case=Loc|Gender=Fem|Number=Plur|VerbForm=Gdv
SFu3	Mood=Con|Number=Sing|Person=3|Tense=Fut
PLMGd	Case=Loc|Gender=Masc|Number=Plur|VerbForm=Gdv
DuGPaF	Case=Gen|Gender=Fem|Number=Dual|VerbForm=Part
PLNeGd	Case=Loc|Gender=Neut|Number=Plur|VerbForm=Gdv
SDPaPrMPv	Case=Dat|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
DuLPaPsM	Case=Loc|Gender=Masc|Number=Dual|Tense=Past|VerbForm=Part
PGPaPsNe	Case=Gen|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part
SFu2	Tense=Fut|Mood=Cond|Person=2|Number=Sing
PGPaPrFPv	Case=Gen|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
PAPaFuM	Case=Acc|Gender=Masc|Number=Plur|Tense=Fut|VerbForm=Part
PGPaPsF	Case=Gen|Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
SDPaPrFPv	Case=Dat|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
SDPaNe	Case=Dat|Gender=Neut|Number=Sing|VerbForm=Part
PFu1	Tense=Fut|Mood=Cond|Person=1|Number=Plur
PPs1InTh	Tense=Past|Mood=Ind|Formation=them|Person=1|Number=Plur
PPr1InPv	Tense=Pres|Mood=Ind|Voice=Pass|Person=1|Number=Plur
DuNPaPrFPv	Case=Nom|Gender=Fem|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
Pa	VerbForm=Part
PPr3OPv	Tense=Pres|Mood=Opt|Voice=Pass|Person=3|Number=Plur
DuNPaPsNe	Case=Nom|Gender=Neut|Number=Dual|Tense=Past|VerbForm=Part
SPr1	Mood=Jus|Number=Sing|Person=1|Tense=Pres
DuPs3InFs	Tense=Past|Mood=Ind|Formation=s|Person=3|Number=Dual
SDPaPrNePv	Case=Dat|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
SGPaPsNe	Case=Gen|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
DuPr3Su	Tense=Pres|Mood=Sub|Person=3|Number=Dual
P2In	Tense=Plp|Mood=Ind|Person=2|Number=Plur
PAPaPsNe	Case=Acc|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part
SIPaFuF	Case=Ins|Gender=Fem|Number=Sing|Tense=Fut|VerbForm=Part
SAPaFuF	Case=Acc|Gender=Fem|Number=Sing|Tense=Fut|VerbForm=Part
PPr3ImPv	Tense=Pres|Mood=Imp|Voice=Pass|Person=3|Number=Plur
PAFGd	Case=Acc|Gender=Fem|Number=Plur|VerbForm=Gdv
PLPaPsNe	Case=Loc|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part
SVPaPsM	Case=Voc|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
PPr2InPv	Tense=Pres|Mood=Ind|Voice=Pass|Person=2|Number=Plur
PPs2InFs	Tense=Past|Mood=Ind|Formation=s|Person=2|Number=Plur
PVPaPrM	Case=Voc|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part
SVPaPsF	Case=Voc|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
SFu1	Tense=Fut|Mood=Cond|Person=1|Number=Sing
DuLPaPrM	Case=Loc|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part
SPr2ImPv	Tense=Pres|Mood=Imp|Voice=Pass|Person=2|Number=Sing
PVPaPsM	Case=Voc|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
SIPaPrFPv	Case=Ins|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
PVPaM	Case=Voc|Gender=Masc|Number=Plur|VerbForm=Part
PPs2Su	Tense=Past|Mood=Sub|Person=2|Number=Plur
SGFGd	Case=Gen|Gender=Fem|Number=Sing|VerbForm=Gdv
Du2In	Tense=Plp|Mood=Ind|Person=2|Number=Dual
Du1ImIn	Tense=Impf|Mood=Ind|Person=1|Number=Dual
SBPaFuM	Case=Abl|Gender=Masc|Number=Sing|Tense=Fut|VerbForm=Part
SVFGd	Case=Voc|Gender=Fem|Number=Sing|VerbForm=Gdv
PBPaPsM	Case=Abl|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
DuGPaPrF	Case=Gen|Gender=Fem|Number=Dual|Tense=Pres|VerbForm=Part
DuPs1In	Mood=Ind|Number=Dual|Person=1|Tense=Past
DuVPaM	Case=Voc|Gender=Masc|Number=Dual|VerbForm=Part
DuPr2O	Tense=Pres|Mood=Opt|Person=2|Number=Dual
DuNPaFuNe	Case=Nom|Gender=Neut|Number=Dual|Tense=Fut|VerbForm=Part
PaFuU	_|Tense=Fut|VerbForm=Part
SNPaFuF	Case=Nom|Gender=Fem|Number=Sing|Tense=Fut|VerbForm=Part
SIPaPsF	Case=Ins|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
DuPs2O	Tense=Past|Mood=Opt|Person=2|Number=Dual
DuAPaPsF	Case=Acc|Gender=Fem|Number=Dual|Tense=Past|VerbForm=Part
PPs3InPv	Mood=Ind|Number=Plur|Person=3|Tense=Past|Voice=Pass
PIPaFuM	Case=Ins|Gender=Masc|Number=Plur|Tense=Fut|VerbForm=Part
DuFu1	Tense=Fut|Mood=Cond|Person=1|Number=Dual
DuIPaF	Case=Ins|Gender=Fem|Number=Dual|VerbForm=Part
DuB	Case=Abl|Number=Dual
SVPaFuF	Case=Voc|Gender=Fem|Number=Sing|Tense=Fut|VerbForm=Part
DuANeGd	Case=Acc|Gender=Neut|Number=Dual|VerbForm=Gdv
SVPaPsNe	Case=Voc|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
DuPs2InFs	Tense=Past|Mood=Ind|Formation=s|Person=2|Number=Dual
SIFGd	Case=Ins|Gender=Fem|Number=Sing|VerbForm=Gdv
DuGPaPsM	Case=Gen|Gender=Masc|Number=Dual|Tense=Past|VerbForm=Part
DuDPaM	Case=Dat|Gender=Masc|Number=Dual|VerbForm=Part
PIFGd	Case=Ins|Gender=Fem|Number=Plur|VerbForm=Gdv
PLPaPsF	Case=Loc|Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
DuPr3ImPv	Tense=Pres|Mood=Imp|Voice=Pass|Person=3|Number=Dual
DuLPaFuM	Case=Loc|Gender=Masc|Number=Dual|Tense=Fut|VerbForm=Part
CoCp	Case=Cpd|VerbForm=Conv
PDPaPrF	Case=Dat|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part
PBPaPsNe	Case=Abl|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part
PPs2InTh	Tense=Past|Mood=Ind|Formation=them|Person=2|Number=Plur
SV	Case=Voc|Number=Sing
PBPaF	Case=Abl|Gender=Fem|Number=Plur|VerbForm=Part
DuVPaPrM	Case=Voc|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part
DuAPaPrNePv	Case=Acc|Gender=Neut|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
DuAPaPrNe	Case=Acc|Gender=Neut|Number=Dual|Tense=Pres|VerbForm=Part
PLPaPsM	Case=Loc|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
SPr1OPv	Tense=Pres|Mood=Opt|Voice=Pass|Person=1|Number=Sing
PIPaPsNe	Case=Ins|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part
DuPs2InFis	Tense=Past|Mood=Ind|Formation=is|Person=2|Number=Dual
SLPaFuNe	Case=Loc|Gender=Neut|Number=Sing|Tense=Fut|VerbForm=Part
SDPaPsF	Case=Dat|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
DuPr2Su	Tense=Pres|Mood=Sub|Person=2|Number=Dual
PFu1InPe	Tense=Fut|Mood=Ind|Formation=peri|Person=1|Number=Plur
SVPaPrF	Case=Voc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part
SGPaPsF	Case=Gen|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
DuDPaPrNePv	Case=Dat|Gender=Neut|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
DuGPaPrMPv	Case=Gen|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
DuAFGd	Case=Acc|Gender=Fem|Number=Dual|VerbForm=Gdv
PLPaFuM	Case=Loc|Gender=Masc|Number=Plur|Tense=Fut|VerbForm=Part
PDPaF	Case=Dat|Gender=Fem|Number=Plur|VerbForm=Part
PDPaPsM	Case=Dat|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
SBPaPrFPv	Case=Abl|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
DuIPaPrNePv	Case=Ins|Gender=Neut|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
DuLPaPrNePv	Case=Loc|Gender=Neut|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
PFu2	Tense=Fut|Mood=Cond|Person=2|Number=Plur
DuPs3O	Tense=Past|Mood=Opt|Person=3|Number=Dual
SBFGd	Case=Abl|Gender=Fem|Number=Sing|VerbForm=Gdv
PPr1	Mood=Jus|Number=Plur|Person=1|Tense=Pres
PPr1OPv	Tense=Pres|Mood=Opt|Voice=Pass|Person=1|Number=Plur
DuPs3	Mood=Jus|Number=Dual|Person=3|Tense=Past
DuFu3	Tense=Fut|Mood=Cond|Person=3|Number=Dual
PPs1InFis	Tense=Past|Mood=Ind|Formation=is|Person=1|Number=Plur
SLFGd	Case=Loc|Gender=Fem|Number=Sing|VerbForm=Gdv
DuL	Case=Loc|Number=Dual
SBPaPrNe	Case=Abl|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part
PVPaPrF	Case=Voc|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part
PIPaPsF	Case=Ins|Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
DuNPaPrNePv	Case=Nom|Gender=Neut|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
SBPaF	Case=Abl|Gender=Fem|Number=Sing|VerbForm=Part
S1ImInPv	Tense=Impf|Mood=Ind|Voice=Pass|Person=1|Number=Sing
PBPaPrM	Case=Abl|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part
DuPs1InFs	Tense=Past|Mood=Ind|Formation=sis|Person=1|Number=Dual
PVPaF	Case=Voc|Gender=Fem|Number=Plur|VerbForm=Part
PFu2InPe	Tense=Fut|Mood=Ind|Formation=peri|Person=2|Number=Plur
DuNPaFuM	Case=Nom|Gender=Masc|Number=Dual|Tense=Fut|VerbForm=Part
PNPaFuF	Case=Nom|Gender=Fem|Number=Plur|Tense=Fut|VerbForm=Part
DuPs1Su	Tense=Past|Mood=Sub|Person=1|Number=Dual
PIPaPrFPv	Case=Ins|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
SIPaFuNe	Case=Ins|Gender=Neut|Number=Sing|Tense=Fut|VerbForm=Part
PBNeGd	Case=Abl|Gender=Neut|Number=Plur|VerbForm=Gdv
PaPr	Tense=Pres|VerbForm=Part
PVPaPrNe	Case=Voc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part
PGPaFuNe	Case=Gen|Gender=Neut|Number=Plur|Tense=Fut|VerbForm=Part
SGPaFuNe	Case=Gen|Gender=Neut|Number=Sing|Tense=Fut|VerbForm=Part
PPs2InFis	Tense=Past|Mood=Ind|Formation=is|Person=2|Number=Plur
DuIPaPsNe	Case=Ins|Gender=Neut|Number=Dual|Tense=Past|VerbForm=Part
DuIPaPrM	Case=Ins|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part
DuIPaPsF	Case=Ins|Gender=Fem|Number=Dual|Tense=Past|VerbForm=Part
PGFGd	Case=Gen|Gender=Fem|Number=Plur|VerbForm=Gdv
PIPaFuNe	Case=Ins|Gender=Neut|Number=Plur|Tense=Fut|VerbForm=Part
SBPaPsF	Case=Abl|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
DuAPaPrFPv	Case=Acc|Gender=Fem|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
DuPr3	Tense=Pres|Mood=Jus|Person=3|Number=Dual
SDPaPsNe	Case=Dat|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part
SPr2OPv	Tense=Pres|Mood=Opt|Voice=Pass|Person=2|Number=Sing
SPr1ImPv	Tense=Pres|Mood=Imp|Voice=Pass|Person=1|Number=Sing
SPs1InPe	Tense=Past|Mood=Ind|Formation=peri|Person=1|Number=Sing
DuPs3InPv	Mood=Ind|Number=Dual|Person=3|Tense=Past|Voice=Pass
DuVPaPrF	Case=Voc|Gender=Fem|Number=Dual|Tense=Pres|VerbForm=Part
DuPr2ImPv	Mood=Imp|Number=Dual|Person=2|Tense=Pres|Voice=Pass
DuPs2InTh	Tense=Past|Mood=Ind|Formation=them|Person=2|Number=Dual
DuPs1O	Tense=Past|Mood=Opt|Person=1|Number=Dual
SVPaNe	Case=Voc|Gender=Neut|Number=Sing|VerbForm=Part
PDMGd	Case=Dat|Gender=Masc|Number=Plur|VerbForm=Gdv
DuGPaPrNePv	Case=Gen|Gender=Neut|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
PBMGd	Case=Abl|Gender=Masc|Number=Plur|VerbForm=Gdv
PGPaFuF	Case=Gen|Gender=Fem|Number=Plur|Tense=Fut|VerbForm=Part
PAPaFuNe	Case=Acc|Gender=Neut|Number=Plur|Tense=Fut|VerbForm=Part
DuLNeGd	Case=Loc|Gender=Neut|Number=Dual|VerbForm=Gdv
DuLPaPrMPv	Case=Loc|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
PBPaPsF	Case=Abl|Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
SDPaPrNe	Case=Dat|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Part
SPs1Im	Mood=Imp|Number=Sing|Person=1|Tense=Past
PLPaFuNe	Case=Loc|Gender=Neut|Number=Plur|Tense=Fut|VerbForm=Part
DuLPaNe	Case=Loc|Gender=Neut|Number=Dual|VerbForm=Part
SDNeGd	Case=Dat|Gender=Neut|Number=Sing|VerbForm=Gdv
DuGMGd	Case=Gen|Gender=Masc|Number=Dual|VerbForm=Gdv
DuGFGd	Case=Gen|Gender=Fem|Number=Dual|VerbForm=Gdv
DuLPaPrFPv	Case=Loc|Gender=Fem|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
DuDPaF	Case=Dat|Gender=Fem|Number=Dual|VerbForm=Part
DuGPaFuM	Case=Gen|Gender=Masc|Number=Dual|Tense=Fut|VerbForm=Part
DuPs3InFis	Tense=Past|Mood=Ind|Formation=is|Person=3|Number=Dual
DuBPaNe	Case=Abl|Gender=Neut|Number=Dual|VerbForm=Part
PDPaNe	Case=Dat|Gender=Neut|Number=Plur|VerbForm=Part
SGPaFuF	Case=Gen|Gender=Fem|Number=Sing|Tense=Fut|VerbForm=Part
DuVPaF	Case=Voc|Gender=Fem|Number=Dual|VerbForm=Part
P1In	Tense=Plp|Mood=Ind|Person=1|Number=Plur
DuAPaPsNe	Case=Acc|Gender=Neut|Number=Dual|Tense=Past|VerbForm=Part
DuLPaF	Case=Loc|Gender=Fem|Number=Dual|VerbForm=Part
SVPaPrMPv	Case=Voc|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Pass
DuGPaPrNe	Case=Gen|Gender=Neut|Number=Dual|Tense=Pres|VerbForm=Part
DuIPaPrFPv	Case=Ins|Gender=Fem|Number=Dual|Tense=Pres|VerbForm=Part|Voice=Pass
DuIMGd	Case=Ins|Gender=Masc|Number=Dual|VerbForm=Gdv
DuVPaPsM	Case=Voc|Gender=Masc|Number=Dual|Tense=Past|VerbForm=Part
PDPaPrFPv	Case=Dat|Gender=Fem|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
P2ImInPv	Tense=Impf|Mood=Ind|Voice=Pass|Person=2|Number=Plur
DuPr3OPv	Tense=Pres|Mood=Opt|Voice=Pass|Person=3|Number=Dual
DuIPaPsM	Case=Ins|Gender=Masc|Number=Dual|Tense=Past|VerbForm=Part
DuLPaPsNe	Case=Loc|Gender=Neut|Number=Dual|Tense=Past|VerbForm=Part
DuDPaPrM	Case=Dat|Gender=Masc|Number=Dual|Tense=Pres|VerbForm=Part
PDPaPsF	Case=Dat|Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
DuLPaPsF	Case=Loc|Gender=Fem|Number=Dual|Tense=Past|VerbForm=Part
PIPaFuF	Case=Ins|Gender=Fem|Number=Plur|Tense=Fut|VerbForm=Part
DuPs1InTh	Tense=Past|Mood=Ind|Formation=them|Person=1|Number=Dual
DuPr2InPv	Tense=Pres|Mood=Ind|Voice=Pass|Person=2|Number=Dual
PBPaPrMPv	Case=Abl|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Pass
SDPaFuNe	Case=Dat|Gender=Neut|Number=Sing|Tense=Fut|VerbForm=Part
PVFGd	Case=Voc|Gender=Fem|Number=Plur|VerbForm=Gdv
PAPaFuF	Case=Acc|Gender=Fem|Number=Plur|Tense=Fut|VerbForm=Part
